NOC,Sport,Adeptness
ROU,Aeronautics,
ROU,Alpinism,
ROU,Archery,
ROU,Art Competitions,
ROU,Artistic Swimming,
ROU,Badminton,
ROU,Baseball,
ROU,Baseball/Softball,
ROU,Basketball,
ROU,Basque Pelota,
ROU,Beach Volleyball,
ROU,Breaking,
ROU,Canoe Slalom,
ROU,Canoe Sprint,
ROU,Cricket,
ROU,Croquet,
ROU,Cycling,
ROU,Cycling BMX Freestyle,
ROU,Cycling BMX Racing,
ROU,Cycling Mountain Bike,
ROU,Cycling Road,
ROU,Cycling Track,
ROU,Diving,
ROU,Equestrian,
ROU,Figure Skating,
ROU,Football,
ROU,Golf,
ROU,Hockey,
ROU,Ice Hockey,
ROU,Jeu De Paume,
ROU,Karate,
ROU,Lacrosse,
ROU,Marathon Swimming,
ROU,Modern Pentathlon,
ROU,Motorboating,
ROU,Polo,
ROU,Racquets,
ROU,Roque,
ROU,Rugby Sevens,
ROU,Sailing,
ROU,Skateboarding,
ROU,Softball,
ROU,Sport Climbing,
ROU,Surfing,
ROU,Synchronized Swimming,
ROU,Table Tennis,
ROU,Taekwondo,
ROU,Trampoline Gymnastics,
ROU,Trampolining,
ROU,Triathlon,
ROU,Tug-Of-War,
ROU,Water Polo,
EST,Weightlifting,0.009749303621169917
EST,Wrestling,0.007638888888888889
EST,Sailing,0.005355776587605203
EST,Judo,0.003978779840848806
EST,Fencing,0.0026028110359187923
EST,Rowing,0.0021651716671821837
EST,Athletics,0.0013547076089410702
EST,Boxing,0.0009541984732824427
EST,Cycling,0.000791765637371338
EST,3x3 Basketball,
EST,Aeronautics,
EST,Alpinism,
EST,Archery,
EST,Art Competitions,
EST,Artistic Gymnastics,
EST,Artistic Swimming,
EST,Badminton,
EST,Baseball,
EST,Baseball/Softball,
EST,Basketball,
EST,Basque Pelota,
EST,Beach Volleyball,
EST,Breaking,
EST,Canoe Slalom,
EST,Canoe Sprint,
EST,Canoeing,
EST,Cricket,
EST,Croquet,
EST,Cycling BMX Freestyle,
EST,Cycling BMX Racing,
EST,Cycling Mountain Bike,
EST,Cycling Road,
EST,Cycling Track,
EST,Diving,
EST,Equestrian,
EST,Equestrianism,
EST,Figure Skating,
EST,Football,
EST,Golf,
EST,Gymnastics,
EST,Handball,
EST,Hockey,
EST,Ice Hockey,
EST,Jeu De Paume,
EST,Karate,
EST,Lacrosse,
EST,Marathon Swimming,
EST,Modern Pentathlon,
EST,Motorboating,
EST,Polo,
EST,Racquets,
EST,Rhythmic Gymnastics,
EST,Roque,
EST,Rugby,
EST,Rugby Sevens,
EST,Shooting,
EST,Skateboarding,
EST,Softball,
EST,Sport Climbing,
EST,Surfing,
EST,Swimming,
EST,Synchronized Swimming,
EST,Table Tennis,
EST,Taekwondo,
EST,Tennis,
EST,Trampoline Gymnastics,
EST,Trampolining,
EST,Triathlon,
EST,Tug-Of-War,
EST,Volleyball,
EST,Water Polo,
FRA,Croquet,1.0
FRA,Rugby,0.30434782608695654
FRA,Cycling BMX Racing,0.25
FRA,Cycling Mountain Bike,0.18181818181818182
FRA,Fencing,0.17699115044247787
FRA,Breaking,0.16666666666666666
FRA,Surfing,0.16666666666666666
FRA,Motorboating,0.14285714285714285
FRA,Archery,0.12590799031476999
FRA,Equestrian,0.125
FRA,Cricket,0.125
FRA,Triathlon,0.12280701754385964
FRA,Cycling,0.11955661124307206
FRA,Judo,0.11936339522546419
FRA,Rugby Sevens,0.11304347826086956
FRA,Handball,0.10112359550561797
FRA,Cycling Road,0.1
FRA,Canoe Slalom,0.1
FRA,Tennis,0.0979381443298969
FRA,Art Competitions,0.09615384615384616
FRA,Sailing,0.08722264728385616
FRA,Cycling BMX Freestyle,0.08333333333333333
FRA,3x3 Basketball,0.08333333333333333
FRA,Equestrianism,0.08186528497409326
FRA,Basketball,0.07037643207855974
FRA,Polo,0.06153846153846154
FRA,Shooting,0.05338345864661654
FRA,Taekwondo,0.04807692307692308
FRA,Cycling Track,0.047619047619047616
FRA,Canoeing,0.045493562231759654
FRA,Tug-Of-War,0.043478260869565216
FRA,Modern Pentathlon,0.04040404040404041
FRA,Rowing,0.03804515929477266
FRA,Karate,0.03125
FRA,Table Tennis,0.03070175438596491
FRA,Football,0.029025191675794086
FRA,Swimming,0.02680887863937734
FRA,Boxing,0.026717557251908396
FRA,Athletics,0.02664258297584105
FRA,Gymnastics,0.02574345317354638
FRA,Water Polo,0.0247320692497939
FRA,Volleyball,0.022341376228775692
FRA,Weightlifting,0.022284122562674095
FRA,Wrestling,0.011805555555555555
FRA,Synchronized Swimming,0.009302325581395349
FRA,Diving,0.002004008016032064
FRA,Aeronautics,
FRA,Alpinism,
FRA,Artistic Gymnastics,
FRA,Artistic Swimming,
FRA,Badminton,
FRA,Baseball,
FRA,Baseball/Softball,
FRA,Basque Pelota,
FRA,Beach Volleyball,
FRA,Canoe Sprint,
FRA,Figure Skating,
FRA,Golf,
FRA,Hockey,
FRA,Ice Hockey,
FRA,Jeu De Paume,
FRA,Lacrosse,
FRA,Marathon Swimming,
FRA,Racquets,
FRA,Rhythmic Gymnastics,
FRA,Roque,
FRA,Skateboarding,
FRA,Softball,
FRA,Sport Climbing,
FRA,Trampoline Gymnastics,
FRA,Trampolining,
MAR,Football,0.0104052573932092
MAR,Athletics,0.004741476631293746
MAR,Boxing,0.003816793893129771
MAR,3x3 Basketball,
MAR,Aeronautics,
MAR,Alpinism,
MAR,Archery,
MAR,Art Competitions,
MAR,Artistic Gymnastics,
MAR,Artistic Swimming,
MAR,Badminton,
MAR,Baseball,
MAR,Baseball/Softball,
MAR,Basketball,
MAR,Basque Pelota,
MAR,Beach Volleyball,
MAR,Breaking,
MAR,Canoe Slalom,
MAR,Canoe Sprint,
MAR,Canoeing,
MAR,Cricket,
MAR,Croquet,
MAR,Cycling,
MAR,Cycling BMX Freestyle,
MAR,Cycling BMX Racing,
MAR,Cycling Mountain Bike,
MAR,Cycling Road,
MAR,Cycling Track,
MAR,Diving,
MAR,Equestrian,
MAR,Equestrianism,
MAR,Fencing,
MAR,Figure Skating,
MAR,Golf,
MAR,Gymnastics,
MAR,Handball,
MAR,Hockey,
MAR,Ice Hockey,
MAR,Jeu De Paume,
MAR,Judo,
MAR,Karate,
MAR,Lacrosse,
MAR,Marathon Swimming,
MAR,Modern Pentathlon,
MAR,Motorboating,
MAR,Polo,
MAR,Racquets,
MAR,Rhythmic Gymnastics,
MAR,Roque,
MAR,Rowing,
MAR,Rugby,
MAR,Rugby Sevens,
MAR,Sailing,
MAR,Shooting,
MAR,Skateboarding,
MAR,Softball,
MAR,Sport Climbing,
MAR,Surfing,
MAR,Swimming,
MAR,Synchronized Swimming,
MAR,Table Tennis,
MAR,Taekwondo,
MAR,Tennis,
MAR,Trampoline Gymnastics,
MAR,Trampolining,
MAR,Triathlon,
MAR,Tug-Of-War,
MAR,Volleyball,
MAR,Water Polo,
MAR,Weightlifting,
MAR,Wrestling,
ESP,Basque Pelota,1.0
ESP,Artistic Swimming,0.14285714285714285
ESP,Synchronized Swimming,0.09302325581395349
ESP,Cycling Mountain Bike,0.09090909090909091
ESP,Canoe Sprint,0.0859375
ESP,3x3 Basketball,0.08333333333333333
ESP,Polo,0.07692307692307693
ESP,Handball,0.07303370786516854
ESP,Rhythmic Gymnastics,0.07142857142857142
ESP,Canoe Slalom,0.06666666666666667
ESP,Karate,0.0625
ESP,Tennis,0.059278350515463915
ESP,Sport Climbing,0.05555555555555555
ESP,Football,0.05257393209200438
ESP,Water Polo,0.051112943116240726
ESP,Basketball,0.049099836333878884
ESP,Hockey,0.044457274826789836
ESP,Taekwondo,0.03365384615384615
ESP,Sailing,0.029074215761285386
ESP,Beach Volleyball,0.020833333333333332
ESP,Canoeing,0.020600858369098713
ESP,Triathlon,0.017543859649122806
ESP,Cycling,0.015043547110055424
ESP,Equestrianism,0.011398963730569948
ESP,Judo,0.009283819628647215
ESP,Artistic Gymnastics,0.0078125
ESP,Archery,0.007263922518159807
ESP,Boxing,0.0057251908396946565
ESP,Badminton,0.004629629629629629
ESP,Athletics,0.004515692029803568
ESP,Shooting,0.0037593984962406013
ESP,Swimming,0.0023061400980109543
ESP,Gymnastics,0.001775410563692854
ESP,Weightlifting,0.001392757660167131
ESP,Wrestling,0.0006944444444444445
ESP,Rowing,0.0006186204763377668
ESP,Fencing,0.0005205622071837585
ESP,Aeronautics,
ESP,Alpinism,
ESP,Art Competitions,
ESP,Baseball,
ESP,Baseball/Softball,
ESP,Breaking,
ESP,Cricket,
ESP,Croquet,
ESP,Cycling BMX Freestyle,
ESP,Cycling BMX Racing,
ESP,Cycling Road,
ESP,Cycling Track,
ESP,Diving,
ESP,Equestrian,
ESP,Figure Skating,
ESP,Golf,
ESP,Ice Hockey,
ESP,Jeu De Paume,
ESP,Lacrosse,
ESP,Marathon Swimming,
ESP,Modern Pentathlon,
ESP,Motorboating,
ESP,Racquets,
ESP,Roque,
ESP,Rugby,
ESP,Rugby Sevens,
ESP,Skateboarding,
ESP,Softball,
ESP,Surfing,
ESP,Table Tennis,
ESP,Trampoline Gymnastics,
ESP,Trampolining,
ESP,Tug-Of-War,
ESP,Volleyball,
EGY,Karate,0.0625
EGY,Taekwondo,0.019230769230769232
EGY,Weightlifting,0.016713091922005572
EGY,Modern Pentathlon,0.010101010101010102
EGY,Wrestling,0.004861111111111111
EGY,Diving,0.004008016032064128
EGY,Boxing,0.0028625954198473282
EGY,Judo,0.002652519893899204
EGY,Fencing,0.001041124414367517
EGY,3x3 Basketball,
EGY,Aeronautics,
EGY,Alpinism,
EGY,Archery,
EGY,Art Competitions,
EGY,Artistic Gymnastics,
EGY,Artistic Swimming,
EGY,Athletics,
EGY,Badminton,
EGY,Baseball,
EGY,Baseball/Softball,
EGY,Basketball,
EGY,Basque Pelota,
EGY,Beach Volleyball,
EGY,Breaking,
EGY,Canoe Slalom,
EGY,Canoe Sprint,
EGY,Canoeing,
EGY,Cricket,
EGY,Croquet,
EGY,Cycling,
EGY,Cycling BMX Freestyle,
EGY,Cycling BMX Racing,
EGY,Cycling Mountain Bike,
EGY,Cycling Road,
EGY,Cycling Track,
EGY,Equestrian,
EGY,Equestrianism,
EGY,Figure Skating,
EGY,Football,
EGY,Golf,
EGY,Gymnastics,
EGY,Handball,
EGY,Hockey,
EGY,Ice Hockey,
EGY,Jeu De Paume,
EGY,Lacrosse,
EGY,Marathon Swimming,
EGY,Motorboating,
EGY,Polo,
EGY,Racquets,
EGY,Rhythmic Gymnastics,
EGY,Roque,
EGY,Rowing,
EGY,Rugby,
EGY,Rugby Sevens,
EGY,Sailing,
EGY,Shooting,
EGY,Skateboarding,
EGY,Softball,
EGY,Sport Climbing,
EGY,Surfing,
EGY,Swimming,
EGY,Synchronized Swimming,
EGY,Table Tennis,
EGY,Tennis,
EGY,Trampoline Gymnastics,
EGY,Trampolining,
EGY,Triathlon,
EGY,Tug-Of-War,
EGY,Volleyball,
EGY,Water Polo,
IRI,Taekwondo,0.04807692307692308
IRI,Wrestling,0.03819444444444445
IRI,Karate,0.03125
IRI,Weightlifting,0.026462395543175487
IRI,Shooting,0.0007518796992481203
IRI,Athletics,0.00022578460149017836
IRI,3x3 Basketball,
IRI,Aeronautics,
IRI,Alpinism,
IRI,Archery,
IRI,Art Competitions,
IRI,Artistic Gymnastics,
IRI,Artistic Swimming,
IRI,Badminton,
IRI,Baseball,
IRI,Baseball/Softball,
IRI,Basketball,
IRI,Basque Pelota,
IRI,Beach Volleyball,
IRI,Boxing,
IRI,Breaking,
IRI,Canoe Slalom,
IRI,Canoe Sprint,
IRI,Canoeing,
IRI,Cricket,
IRI,Croquet,
IRI,Cycling,
IRI,Cycling BMX Freestyle,
IRI,Cycling BMX Racing,
IRI,Cycling Mountain Bike,
IRI,Cycling Road,
IRI,Cycling Track,
IRI,Diving,
IRI,Equestrian,
IRI,Equestrianism,
IRI,Fencing,
IRI,Figure Skating,
IRI,Football,
IRI,Golf,
IRI,Gymnastics,
IRI,Handball,
IRI,Hockey,
IRI,Ice Hockey,
IRI,Jeu De Paume,
IRI,Judo,
IRI,Lacrosse,
IRI,Marathon Swimming,
IRI,Modern Pentathlon,
IRI,Motorboating,
IRI,Polo,
IRI,Racquets,
IRI,Rhythmic Gymnastics,
IRI,Roque,
IRI,Rowing,
IRI,Rugby,
IRI,Rugby Sevens,
IRI,Sailing,
IRI,Skateboarding,
IRI,Softball,
IRI,Sport Climbing,
IRI,Surfing,
IRI,Swimming,
IRI,Synchronized Swimming,
IRI,Table Tennis,
IRI,Tennis,
IRI,Trampoline Gymnastics,
IRI,Trampolining,
IRI,Triathlon,
IRI,Tug-Of-War,
IRI,Volleyball,
IRI,Water Polo,
BUL,Rhythmic Gymnastics,0.14285714285714285
BUL,Weightlifting,0.052924791086350974
BUL,Wrestling,0.050694444444444445
BUL,Karate,0.03125
BUL,Canoeing,0.0240343347639485
BUL,Volleyball,0.01966041108132261
BUL,Basketball,0.019639934533551555
BUL,Boxing,0.019083969465648856
BUL,Football,0.017524644030668127
BUL,Shooting,0.012781954887218045
BUL,Rowing,0.010516548097742036
BUL,Taekwondo,0.004807692307692308
BUL,Gymnastics,0.004438526409232135
BUL,Athletics,0.004289907428313389
BUL,Judo,0.003978779840848806
BUL,Equestrianism,0.0031088082901554403
BUL,Tennis,0.002577319587628866
BUL,Swimming,0.0008648025367541078
BUL,3x3 Basketball,
BUL,Aeronautics,
BUL,Alpinism,
BUL,Archery,
BUL,Art Competitions,
BUL,Artistic Gymnastics,
BUL,Artistic Swimming,
BUL,Badminton,
BUL,Baseball,
BUL,Baseball/Softball,
BUL,Basque Pelota,
BUL,Beach Volleyball,
BUL,Breaking,
BUL,Canoe Slalom,
BUL,Canoe Sprint,
BUL,Cricket,
BUL,Croquet,
BUL,Cycling,
BUL,Cycling BMX Freestyle,
BUL,Cycling BMX Racing,
BUL,Cycling Mountain Bike,
BUL,Cycling Road,
BUL,Cycling Track,
BUL,Diving,
BUL,Equestrian,
BUL,Fencing,
BUL,Figure Skating,
BUL,Golf,
BUL,Handball,
BUL,Hockey,
BUL,Ice Hockey,
BUL,Jeu De Paume,
BUL,Lacrosse,
BUL,Marathon Swimming,
BUL,Modern Pentathlon,
BUL,Motorboating,
BUL,Polo,
BUL,Racquets,
BUL,Roque,
BUL,Rugby,
BUL,Rugby Sevens,
BUL,Sailing,
BUL,Skateboarding,
BUL,Softball,
BUL,Sport Climbing,
BUL,Surfing,
BUL,Synchronized Swimming,
BUL,Table Tennis,
BUL,Trampoline Gymnastics,
BUL,Trampolining,
BUL,Triathlon,
BUL,Tug-Of-War,
BUL,Water Polo,
ITA,Fencing,0.20041644976574702
ITA,Rhythmic Gymnastics,0.13690476190476192
ITA,Marathon Swimming,0.125
ITA,Water Polo,0.0989282769991756
ITA,Cycling,0.09817893903404593
ITA,Art Competitions,0.08974358974358974
ITA,Cycling Track,0.08333333333333333
ITA,Volleyball,0.07596067917783736
ITA,Modern Pentathlon,0.0707070707070707
ITA,Karate,0.0625
ITA,Artistic Gymnastics,0.0625
ITA,Rowing,0.060934116919270025
ITA,Cycling Road,0.05
ITA,Gymnastics,0.04837993786063027
ITA,Equestrianism,0.04766839378238342
ITA,Boxing,0.04580152671755725
ITA,Archery,0.04116222760290557
ITA,Shooting,0.03684210526315789
ITA,Canoe Slalom,0.03333333333333333
ITA,Weightlifting,0.026462395543175487
ITA,Football,0.02628696604600219
ITA,Diving,0.02404809619238477
ITA,Taekwondo,0.02403846153846154
ITA,Judo,0.023872679045092837
ITA,Sailing,0.023718439173680182
ITA,Canoe Sprint,0.0234375
ITA,Beach Volleyball,0.020833333333333332
ITA,Canoeing,0.019742489270386267
ITA,Basketball,0.019639934533551555
ITA,Athletics,0.01919169112666516
ITA,Wrestling,0.015277777777777777
ITA,Swimming,0.013836840588065724
ITA,Tennis,0.010309278350515464
ITA,3x3 Basketball,
ITA,Aeronautics,
ITA,Alpinism,
ITA,Artistic Swimming,
ITA,Badminton,
ITA,Baseball,
ITA,Baseball/Softball,
ITA,Basque Pelota,
ITA,Breaking,
ITA,Cricket,
ITA,Croquet,
ITA,Cycling BMX Freestyle,
ITA,Cycling BMX Racing,
ITA,Cycling Mountain Bike,
ITA,Equestrian,
ITA,Figure Skating,
ITA,Golf,
ITA,Handball,
ITA,Hockey,
ITA,Ice Hockey,
ITA,Jeu De Paume,
ITA,Lacrosse,
ITA,Motorboating,
ITA,Polo,
ITA,Racquets,
ITA,Roque,
ITA,Rugby,
ITA,Rugby Sevens,
ITA,Skateboarding,
ITA,Softball,
ITA,Sport Climbing,
ITA,Surfing,
ITA,Synchronized Swimming,
ITA,Table Tennis,
ITA,Trampoline Gymnastics,
ITA,Trampolining,
ITA,Triathlon,
ITA,Tug-Of-War,
CHA,3x3 Basketball,
CHA,Aeronautics,
CHA,Alpinism,
CHA,Archery,
CHA,Art Competitions,
