Country,Gold_pessimistic,Silver_pessimistic,Bronze_pessimistic,Gold_optimistic,Silver_optimistic,Bronze_optimistic,Gold,Silver,Bronze,Total
Lithuania,2,1,0,2,2,1,2,1,1,3
Tunisia,0,0,0,1,1,0,0,0,0,2
Guatemala,1,0,1,1,0,1,1,0,1,2
Bahamas,0,2,0,1,2,0,0,2,0,2
Trinidad and Tobago,0,1,0,1,1,0,0,1,0,2
Montenegro,0,1,0,0,2,0,0,2,0,2
Hong Kong,0,1,1,0,1,1,0,1,1,2
Moldova,0,1,0,0,2,0,0,2,0,1
South Sudan,0,1,0,0,2,0,0,2,0,1
Malaysia,0,1,0,0,1,0,0,1,0,1
Philippines,0,0,0,1,0,0,0,0,0,1
Bahrain,0,0,0,0,2,0,0,1,0,1
Estonia,0,0,1,0,0,1,0,0,1,1
Liberia,0,1,0,0,2,0,0,1,0,1
United Arab Emirates,0,0,0,0,1,0,0,0,0,1
Jordan,0,0,0,0,1,0,0,0,0,1
Eritrea,0,1,0,0,2,0,0,2,0,1
Singapore,0,0,0,0,1,1,0,0,1,1
Luxembourg,0,0,0,0,1,0,0,0,0,1
Cyprus,0,0,0,0,1,0,0,0,0,1
Samoa,0,1,0,0,1,0,0,1,0,1
Qatar,0,0,0,0,0,0,0,0,0,0
Tanzania,0,0,0,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,0,0,0,0
Ivory Coast,0,0,0,0,0,0,0,0,0,0
Tajikistan,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,0,0,0,0,1,0,0,0,0,0
Armenia,0,0,0,0,0,0,0,0,0,0
Slovakia,0,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,2,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0
Zimbabwe,0,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0,0
Kosovo,0,0,0,0,0,0,0,0,0,0
